Family,Genus,Species,Native Range,Invasive Range,Date,Vector,Niche Expansion,NEMESIS Invader,Notes,References
Gryphaeidae,Hyotissa,hyotis,Indo-West Pacific,Mediterranean; Western Atlantic,2003,Shipping,No,No,,Galil 2007
Pteriidae,Pinctada,imbricata,Indo-West Pacific; Western Atlantic,Western Atlantic,2014,Shipping,No,No,,Marques & Braves 2014
Pectinidae,Argopecten irradians,concentricus,Western Atlantic,N. Western Atlantic; Western Pacific,1991,Aquaculture,Yes,No,,"Fan et al 2015, Huber 2015"
Arcidae,Scapharca,kagoshimensis,Indo-West Pacific,Mediterranean,1966,Shipping,Yes,No,,Lipej et al 2012
Veneridae,Antigona,lamellaris,Indo-West Pacific,Mediterranean,1992,Lessepsian,No,No,,Nunes 2014
Veneridae,Ruditapes,largillierti,New Zealand,Tasmania,1950,Aquaculture Byproduct,No,No,,Maguire 2005
Chamidae,Chama,lazarus,Indo-West Pacific,Hawaii,1950,Shipping,No,No,,Carlton and Eldredge 2009
Mytilidae,Lioberus,ligneus,Indo-West Pacific,Mediterranean,1999,Lessepsian,No,No,,Nunes 2014
Mactridae,Mactra,lilacea,Indo-West Pacific,Mediterranean,1972,Lessepsian,No,No,,Galil 2007
Mytilidae,Mytilaster,lineatus,Western Atlantic; Mediterranean,Mediterranean,1918,Shipping,No,No,,Karpinsky 2010
Trapezidae,Trapezium,liratum,Western Pacific,Eastern Pacific,1935,Aquaculture Byproduct,Yes,Yes,"referred to by its current accespted name, as Neotrapezium liratum in NEMESIS",Wonham & Carlton 2005
Pectinidae,Scaeochlamys,livida,Eastern Australia,Western Australia,1989,Shipping,No,No,,McDonald & Wells 2009
Semelidae,Theora (Endopleura),lubrica,Western Pacific,Australia; NZ; Mediterranean; Eastern Pacific,1958,Shipping,Yes,Yes,Listed as its synonym Theora lubrica in California NEMESIS records,"Bogi & Galil 2007, McDonald & Wells 2009"
Chamidae,Chama,macerophylla,Western Atlantic,Hawaii,1996,Shipping,No,No,,Godwin 2003
Pteriidae,Pinctada,margaritifera,Indo-West Pacific,Mediterranean; Western Atlantic,1974,Aquaculture,No,No,,Galil 2007
Laternulidae,Exolaternula,liataudi (incl. records of E. marilina Reeve 1860),Western Pacific,Eastern Pacific,1990,Shipping,No,No,,Miller et al 1999
Veneridae,Mercenaria,mercenaria,Western Atlantic,Eastern Atlantic; Mediterranean; Eastern Pacific; Western Pacific,1925,Aquaculture,Yes,No,,"Grosholz and Ruiz 2003, Wonham & Carlton 2005, Grosholz et al 2015"
Limopsidae,Limopsis (Oblimopa),multistriata,Indo-West Pacific,Mediterranean,1965,Lessepsian,No,No,,Galil 2007
Arcidae,Scapharca,natalensis,Indian Ocean,Mediterranean,1935,Lessepsian,No,No,,Galil 2007
Spondylidae,Spondylus,nicobaricus,Indo-West Pacific,Mediterranean,1988,Shipping,No,No,,"Mienis 2004, Galil 2007"
Trapezidae,Trapezium,oblongum,Indo-West Pacific,Mediterranean,1980,Lessepsian,No,No,,Mienis 1980
Psammobiidae,Nuttallia,obscurata,Western Pacific,Eastern Pacific,1991,Shipping,Yes,Yes,,"Chan 2013, http://www.psp.wa.gov/downloads/ANS/MISM_Online.pdf"
Mactridae,Mactra,olorina,Indo-West Pacific,Mediterranean,1876,Lessepsian,No,No,,Por 1971
Limidae,Limaria,orientalis,Indo-West Pacific,New Zealand,1972,Shipping,No,No,,Cranfield 1998
Chamidae,Chama,pacifica,Indo-West Pacific,Mediterranean,1905,Lessepsian,Yes,No,,"Nawrot et al 2015, Tillier and Bavay 1905, Streftaris and Zenetos 2006"
Veneridae,Clementia,papyracea,Indo-West Pacific,Mediterranean,1937,Lessepsian,No,No,,Galil 2007
Pectinidae,Zygochlamys,patagonica,South America,Mediterranean,1985,Shipping,Yes,No,,Crocetta & Renda 2008
Veneridae,Gafrarium,pectinatum,Indo-West Pacific,Mediterranean,1880,Lessepsian,No,No,,Por 1971
Pteriidae,Pteria,penguin,Indo-West Pacific,Pacific Islands,1975,Aquaculture,No,No,,Teitelbaum and Fale 2008
Mytilidae,Arcuatula (Musculista),perfragilis,Indo-West Pacific,Mediterranean,1960,Lessepsian,No,No,,Galil 2007
Mytilidae,Perna,perna,Indo-West Pacific; Eastern Atlantic; Mediterranean; S. Western Atlantic,N. Western Atlantic,1990,Shipping,No,No,,"Holland 2001, Sousa et al 2009"
Ostreidae,Planostrea,pestigris,Indo-West Pacific,Eastern Mediterranean,2003,Shipping,No,No,,Galil 2007
Veneridae,Meretrix,petechialis,Western Pacific,N. Western Pacific?,1997,Aquaculture,Yes,No,,Yamakawa and Imai 2012
Mytilidae,Brachidontes,pharaonis,Indo-West Pacific,Mediterranean,1876,Multiple,Yes,No,,"Galil 2007, Streftaris and Zenetos 2006"
Veneridae,Ruditapes,philippinarum,Indo-West Pacific,Mediterranean; Eastern Atlantic; Eastern Pacific,1936,Aquaculture,Yes,Yes,,"Toupoint et al 2008, Streftaris and Zenetos 2006"
Veneridae,Petricolaria,pholadiformis,Western Atlantic,Eastern Atlantic; Mediterranean; Eastern Pacific,1927,Shipping,Yes,Yes,,NOBANIS
Arcidae,Acar (Barbatia),plicata,Indo-West Pacific,Mediterranean,1978,Lessepsian,No,No,,Galil 2007
Plicatulidae,Plicatula,plicata,Indo-West Pacific,Mediterranean,2003,Shipping,No,No,,"Crocetta et al 2015, Mienis 2012"
Mactridae,Raetella,pulchella,Indo-West Pacific,Australia,1991,Shipping,No,No,,Cohen et al 2001
