Family,Scientific Name,North,South,Pool,Shallowest,Deepest,Max.size,NW.gulf,NE.gulf,SW.gulf,SE.gulf,Range limit annual temp,Range limit min chloro,Range limit max chloro,Lat range,Islands occupied,Extralimital probabality
Tellinidae,Strigilla ervilia,22.375,-2.2,Species Pool,0,24,11,23.88,27.87,22.88,20.42,23.90,0.28,7.16,30.07,0,0.014556775
Tellinidae,Strigilla interrupta,21.6,-2.2,Species Pool,9,18,8,NA,NA,NA,NA,23.90,0.39,11.25,23.80,0,0.021289097
Tellinidae,Strigilla serrata,24.1,-1.1,Species Pool,0,26,10,31.02,31.70,30.02,20.42,22.87,0.26,5.33,32.80,1,0.022523355
Ostreidae,Striostrea prismatica,22.375,-4.1,Species Pool,0,0,190,24.20,23.22,22.10,20.42,23.38,0.33,7.16,28.30,0,0.014556775
Carditidae,Strophocardia megastropha,22.375,-1.9,Species Pool,0,100,54,29.60,27.95,22.10,20.42,22.61,0.05,7.16,31.50,3,0.01561861
Solecurtidae,Tagelus longisinuatus,22.375,16.2,Species Pool,0,0,62,NA,23.22,NA,20.42,26.54,0.33,7.16,7.02,0,0.014556775
Solecurtidae,Tagelus peruanus,22.375,-12,Species Pool,0,4,48,NA,23.42,NA,20.42,18.02,0.33,14.76,35.42,0,0.084330627
Solecurtidae,Tagelus peruvianus,22.375,-3.7,Species Pool,0,40,85,31.00,27.90,22.10,20.42,23.29,0.33,7.16,34.70,0,0.014556775
Solecurtidae,Tagelus politus,24.6,-3.5,Species Pool,0,70,50,31.20,27.95,27.05,20.42,21.56,0.42,7.54,34.70,1,0.069972689
Tellinidae,Tellidora burneti,22.375,-2.2,Species Pool,0,29,49,31.02,31.40,26.88,20.42,23.24,0.33,7.16,33.60,0,0.014556775
Tellinidae,Tellina subangulata,24.6,7.9,Species Pool,0,30,25,NA,NA,NA,NA,21.56,0.29,9.31,16.70,0,0.014802795
Tellinidae,Tellinella cumingii,22.375,-2.5,Species Pool,4,73,69,NA,31.40,NA,20.42,23.24,0.33,7.16,33.90,0,0.014556775
Tellinidae,Tellinidella purpurea,22.375,-4.1,Species Pool,0,0,72,24.20,23.20,22.10,20.42,23.38,0.33,7.16,28.30,0,0.014556775
Tellinidae,Temnoconcha cognata,22.375,-3.9,Species Pool,0,68,66,29.90,27.90,22.10,20.42,22.89,0.33,7.16,33.80,0,0.014556775
Corbulidae,Tenuicorbula tenuis,22.375,-3.7,Species Pool,0,73,25,NA,28.90,NA,20.42,22.31,0.33,7.71,32.60,0,0.014606535
Thraciidae,Thracia bereniceae,22.375,9.7,Species Pool,0,46,25,26.67,31.40,24.17,20.42,23.24,0.33,15.90,21.70,0,0.022419629
Thraciidae,Thracia squamosa,24.6,7.8,Species Pool,0,61,36,31.00,28.00,23.17,20.42,20.47,0.10,7.07,23.20,2,0.01413105
Ungulinidae,Timothynus inezensis,24.6,-1.6,Species Pool,6,100,20,31.00,30.30,26.90,20.42,21.56,0.26,6.98,32.60,0,0.041446334
Veneridae,Tivela argentina,22.375,-3.5,Species Pool,0,16,68,31.02,31.30,30.02,20.42,23.24,0.33,7.54,34.80,0,0.014606535
Veneridae,Tivela byronensis,27.8,-4.2,Species Pool,0,73,63,31.02,31.30,26.02,20.58,17.78,0.35,8.97,35.50,1,0.193463418
Veneridae,Tivela delessertii,22.375,8.5,Species Pool,0,0,41,27.05,23.30,22.10,20.42,24.18,0.23,8.40,18.55,0,0.014592081
Veneridae,Tivela lessonii,22.375,-5.1,Species Pool,0,0,70,NA,22.40,NA,20.42,19.67,0.33,7.16,27.50,0,0.014808696
Veneridae,Tivela lineata,22.9,0.5,Species Pool,0,0,31,25.80,28.00,22.10,20.42,23.95,0.21,7.07,27.50,0,0.014548649
Veneridae,Tivela planulata,24.6,-5.1,Species Pool,0,0,65,27.33,28.85,22.88,20.42,19.67,0.46,7.53,33.95,0,0.032842799
Cardiidae,Trachycardium belcheri,28.3,-3.5,Species Pool,14,200,44,27.05,28.22,23.55,20.42,18.35,0.21,8.40,31.80,0,0.113052111
Cardiidae,Trachycardium consors,22.375,-2.2,Species Pool,0,90,84,29.53,31.50,23.55,20.42,22.61,0.33,7.16,33.70,1,0.014889737
Cardiidae,Trachycardium procerum,27.8,-14.2,Extralimital,0,26,117,31.02,31.30,24.17,20.42,17.22,0.35,12.32,45.50,1,0.296326191
Veneridae,Transennella caryonautes,22.9,15.8,Species Pool,10,30,46,24.13,27.90,23.13,23.22,23.95,0.29,11.99,12.10,0,0.014664951
Veneridae,Transennella modesta,22.375,-1.3,Species Pool,0,90,35,27.32,27.95,22.10,20.42,23.23,0.31,7.16,29.25,1,0.014889737
Veneridae,Transennella vulnerata,22.9,-5.6,Species Pool,0,35,48,26.60,27.90,22.10,20.42,19.64,0.34,8.66,33.50,0,0.015333867
Cardiidae,Trigoniocardia granifera,24.1,-3.5,Species Pool,0,66,18,30.77,31.50,29.77,20.42,22.87,0.35,7.54,35.00,2,0.014579679
Glycymerididae,Tucetona multicostata,24.6,-2.2,Species Pool,8,90,46,30.07,31.40,23.55,20.42,21.56,0.41,6.98,33.60,3,0.274216173
Glycymerididae,Tucetona strigilata,22.375,-3.7,Species Pool,10,180,49,28.97,27.93,22.10,20.42,21.84,0.33,8.38,32.67,0,0.014592081
Corbulidae,Varicorbula obesa,28.3,6.7,Species Pool,14,205,13,25.50,27.95,22.10,20.42,18.35,0.27,7.07,21.60,0,0.114581126
Ungulinidae,Zemysina subquadrata,27.8,-2.1,Species Pool,0,183,37,29.80,31.40,22.88,20.42,17.78,0.05,8.97,33.50,4,0.293677185
