Family,Scientific Name,North,South,Pool,Shallowest,Deepest,Max.size,NW.gulf,NE.gulf,SW.gulf,SE.gulf,Range limit annual temp,Range limit min chloro,Range limit max chloro,Lat range,Islands occupied,Extralimital probabality
Mytilidae,Lioberus salvadoricus,22.375,8.1,Species Pool,0,40,42,31.03,31.70,22.10,20.42,23.00,0.32,9.31,23.60,0,0.014802795
Veneridae,Lirophora mariae,28.3,-4.5,Species Pool,6,100,37,31.33,31.40,23.55,20.42,18.35,0.41,4.83,35.90,1,0.522172357
Cardiidae,Lophocardium annettae,28.3,10.7,Species Pool,0,200,57,31.02,27.90,26.85,20.42,18.35,0.19,7.07,20.32,0,0.128116996
Cardiidae,Lophocardium cumingii,22.375,6,Species Pool,10,65,51,25.50,25.60,22.10,20.42,24.98,0.27,11.06,19.60,0,0.014223848
Lucinidae,Lucinisca centrifuga,27.7,-5.9,Species Pool,0,174,20,26.95,31.30,25.97,20.42,17.78,0.35,8.97,37.20,1,0.193463418
Lucinidae,Lucinisca fenestrata,22.375,-1,Species Pool,13,90,55,30.00,27.90,22.10,20.42,22.95,0.26,7.16,31.00,0,0.014556775
Arcidae,Lunarca brevifrons,22.375,-4.7,Species Pool,0,90,43,NA,27.95,NA,20.42,20.04,0.33,7.16,32.65,0,0.014808696
Tellinidae,Lyratellina lyrica,22.375,-3.6,Species Pool,15,73,60,31.00,27.90,22.10,20.42,23.29,0.33,7.16,34.60,0,0.014556775
Tellinidae,Macoploma ecuadoriana,22.375,-5.1,Species Pool,0,80,101,31.00,27.90,22.10,20.42,19.67,0.33,7.16,36.10,0,0.014808696
Tellinidae,Macoploma elytrum,22.375,-3.6,Species Pool,1,110,52,31.20,NA,22.10,NA,23.24,0.33,7.16,34.80,0,0.014556775
Tellinidae,Macoploma lamproleuca,22.375,-4.1,Species Pool,0,30,97,NA,27.90,NA,20.42,23.38,0.33,7.16,32.00,0,0.014556775
Tellinidae,Macoploma siliqua,22.375,1,Species Pool,18,110,30,31.00,NA,22.10,NA,23.29,0.33,7.16,30.00,0,0.014556775
Mactridae,Mactrellona clisia,22.375,-4.1,Species Pool,0,86,100,NA,27.40,NA,20.42,23.38,0.33,7.16,31.50,0,0.014556775
Mactridae,Mactrellona exoleta,22.375,-4.1,Species Pool,0,20,131,NA,23.22,NA,20.42,23.38,0.33,7.16,27.32,0,0.014556775
Mactridae,Mactrellona subalata,22.375,-3.5,Species Pool,0,0,85,NA,24.25,NA,20.42,23.94,0.33,8.47,27.75,0,0.014592081
